title,short_title,link,saleprice,oldprice,reviews,percentoff
"Seagate FireCuda 530 1TB Internal Solid State Drive - M.2 PCIe Gen4 ×4 NVMe 1.4, PS5 Internal SSD, speeds up to 7300MB/s, 3D TLC NAND, 1275 TBW, 1.8M MTBF, Heatsink, Rescue Services (ZP1000GM3A023)",Seagate FireCuda 530 1TB ,/Seagate-FireCuda-Internal-Solid-State/dp/B0977LW48F/ref=sr_1_26?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139871&sprefix=ssd+1tb%2Caps%2C247&sr=8-26,169.99,274.99,0.0,38.18320666206044
TEAMGROUP AX2 512GB 3D NAND TLC 2.5 Inch SATA III Internal Solid State Drive SSD (Read Speed up to 540 MB/s) Compatible with Laptop & PC Desktop T253A3512G0C101,TEAMGROUP AX2 512GB 3D NA,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07215722DVU9U00Z1QH6&url=%2FTEAMGROUP-AX2-Internal-Compatible-T253A3512G0C101%2Fdp%2FB08CK7T9FG%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139871%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-27-spons%26psc%3D1&qualifier=1657139871&id=2639605764634802&widgetName=sp_mtf,37.99,59.99,0.0,36.672778796466076
"SanDisk 1TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2 - External Solid State Drive - SDSSDE81-1T00-G25,Black",SanDisk 1TB Extreme PRO P,/SanDisk-1TB-Extreme-Portable-SDSSDE81-1T00-G25/dp/B08GV9M64L/ref=sr_1_57?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139881&sprefix=ssd+1tb%2Caps%2C247&sr=8-57,199.99,309.99,0.0,35.48501564566598
"G-Technology 1TB G-DRIVE Mobile USB-C (USB 3.1) Portable External Hard Drive, Space Gray - 0G10265",G-Technology 1TB G-DRIVE ,/G-Technology-0G10265-G-Drive-Mobile-Portable/dp/B07DK212QD/ref=sr_1_227?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139933&sprefix=ssd+1tb%2Caps%2C247&sr=8-227,72.49,111.93,0.0,35.23630840704011
"WD 1TB My Passport SSD Portable External Solid State Drive, Red, Sturdy and Blazing Fast, Password Protection with Hardware Encryption - WDBAGF0010BRD-WESN",WD 1TB My Passport SSD Po,/Passport-External-Portable-Drive-WDBAGF0010BRD-WESN/dp/B08F27J5SQ/ref=sr_1_121?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139899&sprefix=ssd+1tb%2Caps%2C247&sr=8-121,129.99,199.99,0.0,35.00175008750436
"Gigabyte AORUS NVMe Gen4 M.2 1TB PCI-Express 4.0 Interface High Performance Gaming, 3D TLC NAND, External DDR Cache Buffer, SSD (GP-AG41TB)",Gigabyte AORUS NVMe Gen4 ,/Gigabyte-PCI-Express-Interface-Performance-GP-AG41TB/dp/B08FCY3BM2/ref=sr_1_37?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-37,119.99,179.99,586.0,33.33518528807157
"SAMSUNG 980 PRO SSD 1TB PCIe 4.0 NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P1T0B",SAMSUNG 980 PRO SSD 1TB P,/SAMSUNG-PCIe-Internal-Gaming-MZ-V8P1T0B/dp/B08GLX7TNT/ref=sr_1_21?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139871&sprefix=ssd+1tb%2Caps%2C247&sr=8-21,139.99,209.99,0.0,33.33492071051002
TEAMGROUP AX2 1TB 3D NAND TLC 2.5 Inch SATA III Internal Solid State Drive SSD (Read Speed up to 540 MB/s) Compatible with Laptop & PC Desktop T253A3001T0C101,TEAMGROUP AX2 1TB 3D NAND,/TEAMGROUP-AX2-Internal-Compatible-T253A3001T0C101/dp/B08CKFDPJ3/ref=sr_1_10?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-10,66.79,99.99,0.0,33.203320332033186
TEAMGROUP AX2 1TB 3D NAND TLC 2.5 Inch SATA III Internal Solid State Drive SSD (Read Speed up to 540 MB/s) Compatible with Laptop & PC Desktop T253A3001T0C101,TEAMGROUP AX2 1TB 3D NAND,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0721516390L0AEBYK4V9&url=%2FTEAMGROUP-AX2-Internal-Compatible-T253A3001T0C101%2Fdp%2FB08CKFDPJ3%2Fref%3Dsr_1_43_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139876%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-43-spons%26psc%3D1&qualifier=1657139876&id=2740099723475775&widgetName=sp_mtf,66.79,99.99,0.0,33.203320332033186
Samsung 960 EVO Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V6E250BW),Samsung 960 EVO Series - ,/Samsung-960-EVO-Internal-MZ-V6E250BW/dp/B01LYFKX41/ref=sr_1_255?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139938&sprefix=ssd+1tb%2Caps%2C247&sr=8-255,87.85,129.99,0.0,32.41787829833065
"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 535 MB/s - SDSSDA-1T00-G27",SanDisk SSD PLUS 1TB Inte,/SanDisk-SSD-PLUS-Internal-SDSSDA-1T00-G27/dp/B09NQJMW28/ref=sr_1_6?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-6,74.99,109.99,197.0,31.821074643149387
"Western Digital 1TB WD Green Internal SSD Solid State Drive - SATA III 6 Gb/s, 2.5/7mm, Up to 545 MB/s - WDS100T3G0A",Western Digital 1TB WD Gr,/Western-Digital-Green-Internal-Solid/dp/B09JQMGHDW/ref=sr_1_8?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-8,74.99,109.99,852.0,31.821074643149387
"SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Hard Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B",SAMSUNG 980 PRO SSD 2TB P,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A092781729W6X3F61RHOD&url=%2FSAMSUNG-Internal-Gaming-MZ-V8P2T0B-AM%2Fdp%2FB08RK2SR23%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139871%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-18-spons%26psc%3D1&qualifier=1657139871&id=2639605764634802&widgetName=sp_atf_next,259.99,379.99,0.0,31.579778415221455
MSI SPATIUM M370 NVMe M.2 1TB Internal SSD PCIe Gen3 NVMe 1.3 3D NAND 1600 TBW,MSI SPATIUM M370 NVMe M.2,/MSI-SPATIUM-M370-NVMe-Internal/dp/B098TJ2KGG/ref=sr_1_100?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139890&sprefix=ssd+1tb%2Caps%2C247&sr=8-100,89.99,129.99,37.0,30.771597815216566
"WD_BLACK 1TB SN750 SE NVMe SSD with Battlefield 2042 Game Code Bundle - Gen4 PCle, Internal Gaming SSD Solid State Drive, M.2 2280, Up to 3,600 MB/s - WDBB9J0010BNC-NRSN",WD_BLACK 1TB SN750 SE NVM,/WD_BLACK-SN750-Battlefield-Bundle-WDBB9J0010BNC-NRSN/dp/B099FNMV34/ref=sr_1_39?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-39,124.99,179.99,0.0,30.557253180732275
PNY CS1030 1TB M.2 NVMe PCIe Gen3 x4 Internal Solid State Drive (SSD) - M280CS1030-1TB-RB,PNY CS1030 1TB M.2 NVMe P,/PNY-CS1030-Internal-Solid-State/dp/B08M49JGKB/ref=sr_1_52?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-52,76.99,109.99,376.0,30.002727520683706
"SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB (MZ-77Q1T0B)",SAMSUNG 870 QVO SATA III ,/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_12?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-12,94.99,134.99,0.0,29.6318245795985
"PNY CS2130 1TB M.2 PCIe NVMe Gen3 x4 Internal Solid State Drive (SSD), Read up to 3,500 - M280CS2130-1TB-RB",PNY CS2130 1TB M.2 PCIe N,/PNY-CS2130-Internal-Solid-State/dp/B0869B4Q66/ref=sr_1_51?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139881&sprefix=ssd+1tb%2Caps%2C247&sr=8-51,84.99,119.99,0.0,29.16909742478539
